index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
1787,"Hope St, Blaxland NSW 2774, Australia","Hope Street, Blaxland NSW 2774",19 Hope Street Blaxland New South Wales 2774,19 Hope Street,Blaxland,New South Wales,2774.0,,Tesla,-33.7452292,150.6101288,6,8,2,37,44,7
890,"Lake Haven Dr, Lake Haven NSW 2263","Lake Haven Drive, Lake Haven NSW 2263",Lake Haven Drive Lake Haven New South Wales 2263,Lake Haven Drive,Lake Haven,New South Wales,2263.0,,Engie,-33.2445959,151.498974,7,9,2,34,48,14
1795,"Queens Rd
Five Dock NSW 2046
Australia","Queens Road, Five Dock NSW 2046",49 Queens Road Five Dock New South Wales 2046,49 Queens Road,Five Dock,New South Wales,2046.0,,Evie Networks,-33.8696308,151.1223747,7,9,2,38,45,7
891,"Lampe St, Talbingo, 2720","Lampe Street, Talbingo NSW 2720",Lampe Street New South Wales 2720,Lampe Street,,New South Wales,2720.0,,Chargefox,-35.58062367,148.3003804,4,6,2,24,33,9
906,"Milbrodale Road 1100, Broke, 2330","Milbrodale Road 1100, Broke NSW 2330",Milbrodale Road Broke New South Wales 2330,Milbrodale Road,Broke,New South Wales,2330.0,,ChargeHub,-32.75094099,151.0803403,5,7,2,33,42,9
908,"Moore St, Banksmeadow , 2019","Moore Street, Banksmeadow NSW 2019",Banks Avenue Eastgardens New South Wales 2036,Banks Avenue,Eastgardens,New South Wales,2036.0,,EVUp,-33.9452573,151.2222232,5,7,2,28,45,17
882,"John Renshaw Dr, Beresfield, 2322","John Renshaw Drive, Beresfield NSW 2322",Kinta Drive Beresfield New South Wales 2322,Kinta Drive,Beresfield,New South Wales,2322.0,,BP,-32.81193998,151.6394685,5,7,2,33,43,10
873,"Herbert St, Tooleybuc, 2736","Herbert Street, Tooleybuc NSW 2736",Lockhart Road New South Wales 2736,Lockhart Road,,New South Wales,2736.0,,Non-networked,-35.02423528,143.3367067,4,6,2,27,34,7
875,"Hermitage Road, Pokolbin, 2320","Hermitage Road, Pokolbin NSW 2320",Hermitage Road Cessnock New South Wales,Hermitage Road,Cessnock,New South Wales,,,Porsche Smart Mobility,-32.73467072,151.2624855,4,6,2,30,39,9
865,"Halls Rd, Pokolbin, 2320","Halls Road, Pokolbin NSW 2320",Halls Road Cessnock New South Wales,Halls Road,Cessnock,New South Wales,,,Porsche Smart Mobility,-32.77742747,151.3148879,4,6,2,24,35,11
917,"Newbridge Road 216, Sydney, 2170","Newbridge Road 216, Sydney NSW 2170",Nuwarra Road Moorebank New South Wales 2170,Nuwarra Road,Moorebank,New South Wales,2170.0,,Ampol,-33.92932037,150.9551001,5,7,2,32,43,11
841,"Cypress Dr, Pokolbin, 2320","Cypress Drive, Pokolbin NSW 2320",Vintage Avenue Cessnock New South Wales,Vintage Avenue,Cessnock,New South Wales,,,Tesla,-32.78510015,151.2896006,4,6,2,26,39,13
839,"Cowper Street, Warrawong, NSW 2502","Cowper Street, Warrawong NSW 2502",King Street Warrawong New South Wales 2502,King Street,Warrawong,New South Wales,2502.0,,EVUp,-34.4861592,150.8879279,5,7,2,34,42,8
927,"Parramatta Rd 214, Sydney, 2134","Parramatta Road 214, Sydney NSW 2134",Bennett Street Burwood New South Wales 2134,Bennett Street,Burwood,New South Wales,2134.0,,Everty,-33.86979084,151.1106677,5,7,2,31,43,12
848,"Don Kendell Dr, Forest Hill, 2651","Don Kendell Drive, Forest Hill NSW 2651",Walsh Drive Forest Hill New South Wales 2651,Walsh Drive,Forest Hill,New South Wales,2651.0,,Tesla,-35.15820325,147.4594585,6,8,2,33,44,11
1151,"117 Remembrance Driveway, Tahmoor NSW 2573","117 Remembrance Driveway, Tahmoor NSW 2573",111-117 Remembrance Driveway Tahmoor New South Wales 2573,111-117 Remembrance Driveway,Tahmoor,New South Wales,2573.0,Woolworths Tahmoor,Non-networked,-34.2232308,150.5930417,6,8,2,42,57,15
1184,"C/65 Reserve Rd, St Leonards NSW 2065","C/65 Reserve Road, Street Leonards NSW 2065",12 Frederick Street St Leonards New South Wales 2065,12 Frederick Street,St Leonards,New South Wales,2065.0,TLE Electrical - Artarmon,Non-networked,-33.8185641,151.1894192,7,9,2,37,52,15
1098,"Clarence St, Moss Vale NSW 2577, Australia","Clarence Street, Moss Vale NSW 2577",11-13 Clarence Street Moss Vale New South Wales 2577,11-13 Clarence Street,Moss Vale,New South Wales,2577.0,,NRMA Electric,-34.5484218,150.3735673,7,9,2,42,52,10
1030,"Alexander St
Crows Nest NSW 2065
Australia    ","Alexander Street, Crows Nest NSW 2065",107 Alexander Street Crows Nest New South Wales 2065,107 Alexander Street,Crows Nest,New South Wales,2065.0,,NRMA Electric,-33.8254711,151.2024328,7,9,2,46,52,6
978,"Wordsworth St, Byron Bay, NSW 2481","Wordsworth Street, Byron Bay NSW 2481",Wordsworth Street Byron Bay New South Wales 2481,Wordsworth Street,Byron Bay,New South Wales,2481.0,,EVX,-28.6420511,153.6097528,6,8,2,34,48,14
1022,Butler Rd Mascot NSW 2020 Australia,Butler Road Mascot NSW 2020,The Grand Parade Brighton-Le-Sands New South Wales 2216,The Grand Parade,Brighton-Le-Sands,New South Wales,2216.0,,BP Australia ,-33.9440348,151.1855682,6,8,2,35,55,20
1031,"450 Quakers Hill Pkwy, Quakers Hill NSW 2763","450 Quakers Hill Pkwy, Quakers Hill NSW 2763",454 Quakers Hill Parkway Quakers Hill New South Wales 2763,454 Quakers Hill Parkway,Quakers Hill,New South Wales,2763.0,,BP Australia ,-33.7299642,150.9022838,8,10,2,44,58,14
965,"Unit 10/1A Mitchell, Mollymook , 2539","Unit 10/1A Mitchell, Mollymook NSW 2539",Mitchell Parade Mollymook Beach New South Wales 2539,Mitchell Parade,Mollymook Beach,New South Wales,2539.0,,Tesla,-35.33529034,150.4724404,6,8,2,37,52,15
829,"Cnr Beggs Road & Rooty Hill Road, Sydney, 2766","Cnr Beggs Road & Rooty Hill Road, Sydney NSW 2766",159 Rooty Hill Road South Eastern Creek New South Wales 2766,159 Rooty Hill Road South,Eastern Creek,New South Wales,2766.0,,Chargefox,-33.7847568,150.8531011,9,11,2,46,60,14
817,"Cabarita Rd, Bogangar, 2488","Cabarita Road, Bogangar NSW 2488",Cabarita Road New South Wales 2488,Cabarita Road,,New South Wales,2488.0,,NRMA,-28.33169174,153.5641411,4,6,2,27,34,7
814,"Bryant Dr, Central Coast, 2259","Bryant Drive, Central Coast NSW 2259",Wyong Road Tuggerah New South Wales 2259,Wyong Road,Tuggerah,New South Wales,2259.0,,Tesla,-33.31010015,151.4206827,5,7,2,30,40,10
955,"Smith St, Newcastle West, NSW 2303","Smith Street, Newcastle West NSW 2303",Smith Street Newcastle West New South Wales 2302,Smith Street,Newcastle West,New South Wales,2302.0,,Chargefox,-32.9301582,151.7606336,6,8,2,34,48,14
1071,Auckland St Bega NSW 2550 Australia,Auckland Street Bega NSW 2550,182 Auckland Street Bega New South Wales 2550,182 Auckland Street,Bega,New South Wales,2550.0,,Tesla Motors ,-36.6784759,149.8397774,6,8,2,35,45,10
1067,Hill St Picton NSW 2571 Australia,Hill Street Picton NSW 2571,34A Hill Street Picton New South Wales 2571,34A Hill Street,Picton,New South Wales,2571.0,,BP Australia ,-34.1880903,150.6070342,6,8,2,33,43,10
1107,"1 Alternative Way, Nimbin NSW 2480","1 Alternative Way, Nimbin NSW 2480",1 Alternative Way Nimbin New South Wales 2480,1 Alternative Way,Nimbin,New South Wales,2480.0,Rainbow Power Company,Non-networked,-28.5953327,153.226753,6,8,2,34,45,11
1191,"35 Tumbalong Bvd, Haymarket NSW 2000","35 Tumbalong Bvd, Haymarket NSW 2000",81-83 Harbour Street Haymarket New South Wales 2000,81-83 Harbour Street,Haymarket,New South Wales,2000.0,Darling Square Car Park ,Non-networked,-33.8782742,151.2025947,6,8,2,36,51,15
721,"8 Kylie Clos, Central Coast, 2263","8 Kylie Clos, Central Coast NSW 2263",Kylie Close Lake Haven New South Wales 2263,Kylie Close,Lake Haven,New South Wales,2263.0,,Tesla,-33.24437942,151.5005706,6,8,2,33,43,10
659,"600 Kingsway, Sydney, 2228","600 Kingsway, Sydney NSW 2228",Kingsway Miranda New South Wales 2228,Kingsway,Miranda,New South Wales,2228.0,,Tesla,-34.03398503,151.0995746,4,6,2,26,37,11
795,"A/2 Macquarie St, Sydney, 2150","A/2 Macquarie Street, Sydney NSW 2150",Macquarie Street Sydney New South Wales 2150,Macquarie Street,Sydney,New South Wales,2150.0,,Exploren,-33.81408613,150.9991782,5,7,2,30,44,14
639,"59 The Centre, Sydney, 2087","59 The Centre, Sydney NSW 2087",The Centre Sydney New South Wales 2087,The Centre,Sydney,New South Wales,2087.0,,JOLT,-33.76210915,151.2142012,5,7,2,27,38,11
1758,"Brewer St
Concord NSW 2137
Australia","Brewer Street, Concord NSW 2137",17 Brewer Street Concord New South Wales 2137,17 Brewer Street,Concord,New South Wales,2137.0,,Evie Networks,-33.8538342,151.1054057,6,8,2,36,45,9
1755,"Banks St
East Maitland NSW 2323
Australia","Banks Street, East Maitland NSW 2323",51 Banks Street East Maitland New South Wales 2323,51 Banks Street,East Maitland,New South Wales,2323.0,EAST MAITLAND BOWLING CLUB.,Exploren,-32.748883,151.5811776,7,9,2,41,50,9
1768,"Coonabarabran Visitor Cntr, Coonabarabran, 2357","Coonabarabran Visitor Cntr, Coonabarabran NSW 2357",Newell Highway Coonabarabran New South Wales 2357,Newell Highway,Coonabarabran,New South Wales,2357.0,,NRMA,-31.27879984,149.2792432,5,7,2,47,49,2
759,"8s South Steyne, Sydney, 2095","8S South Steyne, Sydney NSW 2095",Ashburner Street Sydney New South Wales 2095,Ashburner Street,Sydney,New South Wales,2095.0,,Exploren,-33.79987792,151.2894434,5,7,2,29,44,15
662,"61 Hawkesbury Valley Way, Windsor, 2756","61 Hawkesbury Valley Way, Windsor NSW 2756",Rum Corp Lane Sydney New South Wales 2756,Rum Corp Lane,Sydney,New South Wales,2756.0,,Tesla,-33.60953258,150.8076797,6,8,2,39,41,2
689,"71 Bulahdelah Way, Bulahdelah, 2423","71 Bulahdelah Way, Bulahdelah NSW 2423",Bulahdelah Way Bulahdelah New South Wales 2423,Bulahdelah Way,Bulahdelah,New South Wales,2423.0,,Exploren,-32.40902707,152.2106787,5,7,2,35,46,11
660,"6056 Henry Parkes Way, Manildra, 2865","6056 Henry Parkes Way, Manildra NSW 2865",Henry Parkes Way Manildra New South Wales 2865,Henry Parkes Way,Manildra,New South Wales,2865.0,,Tesla,-33.18793998,148.5347007,6,8,2,37,46,9
834,"Cnr Herring Rd & Waterloo Rd, Sydney, 2113","Cnr Herring Road & Waterloo Road, Sydney NSW 2113",197-201 Herring Road Macquarie Park New South Wales 2113,197-201 Herring Road,Macquarie Park,New South Wales,2113.0,,Tesla,-33.77721726,151.1208809,8,9,1,42,56,14
910,"Mount View Rd, Mount View, 2325","Mount View Road, Mount View NSW 2325",Mount View Road Cessnock New South Wales,Mount View Road,Cessnock,New South Wales,,,Tesla,-32.83438043,151.2962412,6,7,1,31,40,9
1793,"Park Rd
Speers Point NSW 2284
Australia","Park Road, Speers Point NSW 2284",Park Road Speers Point New South Wales 2284,Park Road,Speers Point,New South Wales,2284.0,Lake Macquarie Council,Everty,-32.9612167,151.6209325,7,8,1,39,43,4
929,"Pine Tree Ln, Central Coast, 2260","Pine Tree Lane, Central Coast NSW 2260",Terrigal Esplanade Terrigal New South Wales 2260,Terrigal Esplanade,Terrigal,New South Wales,2260.0,,Tesla,-33.44812317,151.4453053,6,7,1,33,48,15
837,"Commercial St, Walla Walla, 2659","Commercial Street, Walla Walla NSW 2659",Commercial Street New South Wales 2659,Commercial Street,,New South Wales,2659.0,,NRMA,-35.76493698,146.901041,5,6,1,32,38,6
1791,"Morton St
Moree NSW 2400
Australia","Morton Street, Moree NSW 2400",Morton Street Moree New South Wales 2400,Morton Street,Moree,New South Wales,2400.0,Moree and District Services Club,Smart Charge,-29.4695982,149.848721,6,7,1,34,40,6
208,"1650 Alpine Way, Crackenback, 2627","1650 Alpine Way, Crackenback NSW 2627",Bullocks Drive New South Wales 2627,Bullocks Drive,,New South Wales,2627.0,,Chargefox,-36.44508413,148.4499129,5,6,1,34,35,1
1784,"Green St
Lockhart NSW 2656
Australia","Green Street, Lockhart NSW 2656",Green Street Lockhart New South Wales 2656,Green Street,Lockhart,New South Wales,2656.0,Lockhart Shire Council,Exploren,-35.2217005,146.7206963,6,7,1,36,42,6
338,"2260 Camden Valley Way, Sydney, 2170","2260 Camden Valley Way, Sydney NSW 2170",Campbelltown Road Casula New South Wales 2170,Campbelltown Road,Casula,New South Wales,2170.0,,JOLT,-33.95800605,150.8864635,6,7,1,36,45,9
1792,"Pacific Ave
Gerringong NSW 2534
Australia","Pacific Avenue, Gerringong NSW 2534",Pacific Avenue Gerringong New South Wales 2534,Pacific Avenue,Gerringong,New South Wales,2534.0,Gerringong Bowlo,EVSE,-34.7426897,150.8323348,6,7,1,41,46,5
894,"Leisure Haven Caravan Pk, Woollamia, 2540","Leisure Haven Caravan Pk, Woollamia NSW 2540",785 Woollamia Road New South Wales 2540,785 Woollamia Road,,New South Wales,2540.0,,Exploren,-35.02311116,150.6615756,6,7,1,41,39,-2
1786,"Hill St
Muswellbrook NSW 2333
Australia","Hill Street, Muswellbrook NSW 2333",Carl Street Muswellbrook New South Wales 2333,Carl Street,Muswellbrook,New South Wales,2333.0,Muswellbrook Shire Council,EVUp,-32.2619076,150.8940866,6,7,1,39,45,6
1790,"Loughnan St
Coolamon NSW 2701
Australia","Loughnan Street, Coolamon NSW 2701",Loughnan Street Coolamon New South Wales 2701,Loughnan Street,Coolamon,New South Wales,2701.0,Coolamon Shire Council,Exploren,-34.8145026,147.1957181,6,7,1,39,45,6
1785,"Hargreaves St
Unanderra NSW 2526
Australia","Hargreaves Street, Unanderra NSW 2526",Hargreaves Street Unanderra New South Wales 2526,Hargreaves Street,Unanderra,New South Wales,2526.0,Wests Illawarra,Exploren,-34.4519056,150.8425045,6,7,1,42,48,6
1782,"Gouldsbury St
Mosman NSW 2088
Australia","Gouldsbury Street, Mosman NSW 2088",Gouldsbury Street Mosman New South Wales 2088,Gouldsbury Street,Mosman,New South Wales,2088.0,,Evie Networks,-33.8276585,151.2423815,6,7,1,39,45,6
339,"2260 Camden Valley Way, Sydney, 2170","2260 Camden Valley Way, Sydney NSW 2170",Campbelltown Road Casula New South Wales 2170,Campbelltown Road,Casula,New South Wales,2170.0,,JOLT,-33.9581552,150.8866296,6,7,1,36,45,9
311,"2072 Camden Valley Way, Edmondson Park, NSW, 2174","2072 Camden Valley Way, Edmondson Park NSW 2174",Camden Valley Way Edmondson Park New South Wales 2174,Camden Valley Way,Edmondson Park,New South Wales,2174.0,,Ampol,-33.9558559,150.8648944,8,9,1,49,53,4
1806,"Yango St
Cessnock NSW 2325
Australia","Yango Street, Cessnock NSW 2325",Yango Street Cessnock New South Wales 2325,Yango Street,Cessnock,New South Wales,2325.0,Bridges Hill Park,EVSE,-32.8316554,151.3599738,6,7,1,36,42,6
1778,"Gasworks Ln, Molong, NSW, 2866, Australia","Gasworks Lane, Molong NSW 2866",Gasworks Lane Molong New South Wales 2866,Gasworks Lane,Molong,New South Wales,2866.0,,NRMA,-33.0912006,148.8706612,6,7,1,41,41,0
1777,"Forbes St
Grenfell NSW 2810
Australia","Forbes Street, Grenfell NSW 2810",Middle Street Grenfell New South Wales 2810,Middle Street,Grenfell,New South Wales,2810.0,Weddin Shire Council,Exploren,-33.8960764,148.1599851,6,7,1,37,43,6
1780,"Gordon Young Dr
South West Rocks NSW 2431
Australia","Gordon Young Drive, South West Rocks NSW 2431",Gordon Young Drive South West Rocks New South Wales 2431,Gordon Young Drive,South West Rocks,New South Wales,2431.0,Ingenia Holiday Parks - South West Rocks.,Exploren,-30.8897222,153.0329191,9,10,1,51,56,5
1779,"Golf Pl
Primbee NSW 2502
Australia","Golf Place, Primbee NSW 2502",Golf Place Primbee New South Wales 2502,Golf Place,Primbee,New South Wales,2502.0,Port Kembla Golf Club,EVSE,-34.5079997,150.8786484,6,7,1,34,39,5
1776,"Evans St
Randwick NSW 2031
Australia","Evans Street, Randwick NSW 2031",Huddart Lane Randwick New South Wales 2031,Huddart Lane,Randwick,New South Wales,2031.0,,PLUS ES,-33.9039196,151.2386892,6,7,1,36,42,6
1761,"Bulbodney St
Tottenham NSW 2873
Australia","Bulbodney Street, Tottenham NSW 2873",Meadowview Road Tottenham New South Wales 2873,Meadowview Road,Tottenham,New South Wales,2873.0,"War Memorial Hall, Tottenham",Exploren,-32.2494946,147.3540861,6,7,1,41,46,5
1286,"Opal Blvd
Korora NSW 2450
Australia","Opal Boulevard, Korora NSW 2450",Opal Boulevard Korora New South Wales 2450,Opal Boulevard,Korora,New South Wales,2450.0,,Non-networked,-30.2504419,153.1378036,6,7,1,35,42,7
1800,"Union Ln
Tumbarumba NSW 2653
Australia","Union Lane, Tumbarumba NSW 2653",Union Lane Tumbarumba New South Wales 2653,Union Lane,Tumbarumba,New South Wales,2653.0,Tumbarumba Overnight Camper Parking,Chargefox,-35.7759887,148.0108553,6,7,1,38,42,4
1799,"Twenty Four Ln
Moama NSW 2731
Australia","Twenty Four Lane, Moama NSW 2731",Twenty Four Lane Moama New South Wales 2731,Twenty Four Lane,Moama,New South Wales,2731.0,Rich River Golf Club,Smart Charge,-36.0390474,144.7327343,7,8,1,39,43,4
1781,"Gould Dr
Lemon Tree Passage NSW 2319
Australia","Gould Drive, Lemon Tree Passage NSW 2319",Gould Drive Lemon Tree Passage New South Wales 2319,Gould Drive,Lemon Tree Passage,New South Wales,2319.0,Club Lemon Tree,Exploren,-32.7344282,152.0354666,8,9,1,46,51,5
538,"417 Hinterland Way, Knockrow, 2479","417 Hinterland Way, Knockrow NSW 2479",Hinterland Way New South Wales 2479,Hinterland Way,,New South Wales,2479.0,,ChargePoint,-28.74979684,153.5343183,5,6,1,34,35,1
1757,"Bombah Point Rd
Bulahdelah NSW 2423
Australia","Bombah Point Road, Bulahdelah NSW 2423",Bombah Point Road Bulahdelah New South Wales 2423,Bombah Point Road,Bulahdelah,New South Wales,2423.0,NRMA Parks and Resorts,Chargefox,-32.4400154,152.2328245,7,8,1,45,49,4
1475,"30 The Esplanade
Narrabeen NSW 2101
Australia","30 The Esplanade, Narrabeen NSW 2101",30 The Esplanade Narrabeen New South Wales 2101,30 The Esplanade,Narrabeen,New South Wales,2101.0,,EVX,-33.7195338,151.2888594,7,8,1,45,47,2
763,"9 Eastern Valley Way, Northbridge NSW 2063","9 Eastern Valley Way, Northbridge NSW 2063",Eastern Valley Way Northbridge New South Wales 2063,Eastern Valley Way,Northbridge,New South Wales,2063.0,,Evie,-33.809326,151.208848,7,8,1,42,51,9
1759,"Brolga Pl
Coleambally NSW 2707
Australia","Brolga Place, Coleambally NSW 2707",33-35 Brolga Place New South Wales 2707,33-35 Brolga Place,,New South Wales,2707.0,Murrumbidgee Council,Chargefox,-34.8064795,145.8801759,6,7,1,40,39,-1
1284,"Dudley St
Oberon NSW 2787
Australia","Dudley Street, Oberon NSW 2787",Dudley Street Oberon New South Wales 2787,Dudley Street,Oberon,New South Wales,2787.0,Oberon Military Museum,Non-networked,-33.7063026,149.8629355,6,7,1,35,41,6
1287,"Riverside Cres
Brunswick Heads NSW 2483
Australia","Riverside Crescent, Brunswick Heads NSW 2483",Riverside Crescent Brunswick Heads New South Wales 2483,Riverside Crescent,Brunswick Heads,New South Wales,2483.0,,Non-networked,-28.5341264,153.537687,7,8,1,49,55,6
1289,"Stockton St
Nelson Bay NSW 2315
Australia","Stockton Street, Nelson Bay NSW 2315",Stockton Street Nelson Bay New South Wales 2315,Stockton Street,Nelson Bay,New South Wales,2315.0,,Non-networked,-32.7259601,152.1387343,7,8,1,41,47,6
1288,"Robertson St
Mudgee NSW 2850
Australia","Robertson Street, Mudgee NSW 2850",Robertson Street Mudgee New South Wales 2850,Robertson Street,Mudgee,New South Wales,2850.0,,Non-networked,-32.6115731,149.5911061,6,7,1,38,44,6
1281,"Aslings Beach Rd
Eden NSW 2551
Australia","Aslings Beach Road, Eden NSW 2551",Aslings Beach Road Eden New South Wales 2551,Aslings Beach Road,Eden,New South Wales,2551.0,Reflections Eden,Non-networked,-37.0563346,149.9121501,7,8,1,40,44,4
1162,"Bressington Park, Underwood Rd, Homebush NSW 2140","Bressington Park, Underwood Road, Homebush NSW 2140",Homebush Bay Drive Homebush New South Wales 2140,Homebush Bay Drive,Homebush,New South Wales,2140.0,Bressington Park Dog Park,Non-networked,-33.8528942,151.0801923,7,8,1,49,48,-1
1081,"East St, Harden NSW 2587, Australia","East Street, Harden NSW 2587",East Street Harden New South Wales 2587,East Street,Harden,New South Wales,2587.0,Cargo Road Wines,Non-Networked,-34.5624066,148.3641064,6,7,1,35,39,4
830,"Cnr Compton Drive & Cedar Cres, Ballina, 2478","Cnr Compton Drive & Cedar Crescent, Ballina NSW 2478",72 Cedar Crescent East Ballina New South Wales 2478,72 Cedar Crescent,East Ballina,New South Wales,2478.0,,Tesla,-28.86860365,153.5889309,8,9,1,45,51,6
904,"Merry Beach Rd, Kioloa, 2539","Merry Beach Road, Kioloa NSW 2539",Brace Close New South Wales 2539,Brace Close,,New South Wales,2539.0,,Exploren,-35.56540945,150.371977,5,6,1,28,32,4
1794,"Plumpton Rd
Kooringal NSW 2650
Australia","Plumpton Road, Kooringal NSW 2650",Plumpton Road Kooringal New South Wales 2650,Plumpton Road,Kooringal,New South Wales,2650.0,Wagga Wagga Country Club,Noodoe,-35.1520396,147.3705687,6,7,1,40,44,4
1797,"Squires Way
North Wollongong NSW 2500
Australia","Squires Way, North Wollongong NSW 2500",Squires Way North Wollongong New South Wales 2500,Squires Way,North Wollongong,New South Wales,2500.0,UOW Science Space,Chargefox,-34.4043033,150.8998778,7,8,1,47,49,2
1020,"Ozone St, Chinderah NSW 2487, Australia","Ozone Street, Chinderah NSW 2487",Ozone Street Chinderah New South Wales 2487,Ozone Street,Chinderah,New South Wales,2487.0,,Tesla Motors ,-28.2444054,153.5574467,6,7,1,39,43,4
1070,4/6 Niangala Clos Belrose NSW 2085 Australia,"4/6 Niangala Clos Belrose, NSW 2085",4-6 Niangala Close Sydney New South Wales 2085,4-6 Niangala Close,Sydney,New South Wales,2085.0,,Tesla Motors ,-33.7034771,151.2131487,7,8,1,44,46,2
1040,King St Warrawong NSW 2502 Australia,King Street Warrawong NSW 2502,King Street Warrawong New South Wales 2502,King Street,Warrawong,New South Wales,2502.0,,BP Australia ,-34.4881789,150.8880738,6,7,1,36,42,6
1010,"Buchanan Dr, South West Rocks NSW 2431, Australia","Buchanan Drive, South West Rocks NSW 2431",Buchanan Drive South West Rocks New South Wales 2431,Buchanan Drive,South West Rocks,New South Wales,2431.0,Kempsey Shire Council,Exploren,-30.88653,153.0379572,8,9,1,49,52,3
988,Ross Smith Ave Mascot NSW 2020 Australia,Ross Smith Avenue Mascot NSW 2020,Ross Smith Avenue Mascot New South Wales 2020,Ross Smith Avenue,Mascot,New South Wales,2020.0,,Tesla Motors ,-33.9380083,151.1924793,7,8,1,40,45,5
1072,"Grafton St, Coffs Harbour NSW 2450, Australia","Grafton Street, Coffs Harbour NSW 2450",Grafton Street Coffs Harbour New South Wales 2450,Grafton Street,Coffs Harbour,New South Wales,2450.0,,Tesla Motors ,-30.2955876,153.1146281,7,8,1,45,49,4
1078,11 The Boulevarde Strathfield NSW 2135 Australia,"11 The Boulevarde Strathfield, NSW 2135",11 The Boulevarde Strathfield New South Wales 2135,11 The Boulevarde,Strathfield,New South Wales,2135.0,,Tesla Motors ,-33.8732249,151.0931072,7,8,1,48,50,2
1771,"Cressy St
Deniliquin NSW 2710
Australia","Cressy Street, Deniliquin NSW 2710",Cressy Street Deniliquin New South Wales 2710,Cressy Street,Deniliquin,New South Wales,2710.0,Edward River Council,Exploren,-35.5268433,144.9609962,6,7,1,39,45,6
1765,"Clarence St
Tabulam NSW 2469
Australia","Clarence Street, Tabulam NSW 2469",Clarence Street Tabulam New South Wales 2469,Clarence Street,Tabulam,New South Wales,2469.0,Kyogle Council,Exploren,-28.8890741,152.5677423,6,7,1,38,44,6
1803,"Whylandra St
Dubbo NSW 2830
Australia","Whylandra Street, Dubbo NSW 2830",Whylandra Street Dubbo New South Wales 2830,Whylandra Street,Dubbo,New South Wales,2830.0,NRMA Parks and Resorts,Chargefox,-32.2484702,148.5931277,6,7,1,37,43,6
1802,"Whitton St
Harden NSW 2587
Australia","Whitton Street, Harden NSW 2587",Whitton Street Harden New South Wales 2587,Whitton Street,Harden,New South Wales,2587.0,The Old Bakery Guesthouse,Exploren,-34.5543461,148.369572,6,7,1,36,42,6
1801,"Victoria Hill Rd
Adelong NSW 2729
Australia","Victoria Hill Road, Adelong NSW 2729",Victoria Hill Road Adelong New South Wales 2729,Victoria Hill Road,Adelong,New South Wales,2729.0,Adelong Golden Gully Carpark,Non-networked,-35.3062556,148.0642927,7,8,1,43,47,4
65,"1034 The Escort Way, Borenore, 2800","1034 The Escort Way, Borenore NSW 2800",The Escort Way New South Wales 2800,The Escort Way,,New South Wales,2800.0,,Tesla,-33.25922627,149.00404,6,7,1,35,35,0
1048,"Mitchell Ave, Khancoban NSW 2642, Australia","Mitchell Avenue, Khancoban NSW 2642",Mitchell Avenue Khancoban New South Wales 2642,Mitchell Avenue,Khancoban,New South Wales,2642.0,Elizabeth Motor Inn Adamstown,Non-Networked,-36.2140735,148.1324093,6,7,1,43,46,3
992,"Campbell Pde
Bondi Beach NSW 2026
Australia    ","Campbell Parade, Bondi Beach NSW 2026",Campbell Parade Bondi Beach New South Wales 2026,Campbell Parade,Bondi Beach,New South Wales,2026.0,,Fast Cities A,-33.8897295,151.2797592,7,8,1,47,48,1
977,"Wolgan Rd, Wolgan Valley, 2790","Wolgan Road, Wolgan Valley NSW 2790",Wolgan Road New South Wales 2790,Wolgan Road,,New South Wales,2790.0,,Porsche Destination Charging,-33.2273524,150.1924444,5,6,1,30,32,2
993,"Ewingsdale Rd, Byron Bay NSW 2481, Australia","Ewingsdale Road, Byron Bay NSW 2481",Ewingsdale Road Byron Bay New South Wales 2481,Ewingsdale Road,Byron Bay,New South Wales,2481.0,,Tesla Motors ,-28.6380154,153.5859269,7,8,1,44,46,2
802,"Ascot St, Sydney, 2033","Ascot Street, Sydney NSW 2033",Randwick New South Wales 2031,,Randwick,New South Wales,2031.0,,Exploren,-33.90838043,151.2263453,4,5,1,22,29,7
804,"B640 Princes Hwy, Berry, 2535","B640 Princes Highway, Berry NSW 2535",Princes Highway New South Wales 2535,Princes Highway,,New South Wales,2535.0,,Tesla,-34.80794299,150.637044,5,6,1,29,36,7
815,"Buchanan Dr
South West Rocks NSW 2431
Australia","Buchanan Drive, South West Rocks NSW 2431",Buchanan Drive South West Rocks New South Wales 2431,Buchanan Drive,South West Rocks,New South Wales,2431.0,Kempsey Shire Council,Exploren,-30.88653,153.0379572,8,9,1,47,52,5
954,"Skillman's Lane, Coonamble, NSW 2829, Australia","Skillman'S Lane, Coonamble NSW 2829",Meehan Street Yass New South Wales 2582,Meehan Street,Yass,New South Wales,2582.0,,NRMA,-34.8411047,148.912197,6,7,1,47,39,-8
1092,"Avenue of Europe, Newington NSW 2127, Australia","Avenue Of Europe, Newington NSW 2127",Avenue of Europe Newington New South Wales 2127,Avenue of Europe,Newington,New South Wales,2127.0,,Fast Cities A,-33.8342986,151.0564365,7,8,1,47,47,0
